time, avg_wait, num_trains, avg_dist
0, 0.000000, 2, 4.000000
30, 14.999404, 8, 4.000000
60, 31.265012, 14, 4.000000
90, 47.810632, 19, 1.722222
120, 63.803946, 25, 2.291667
150, 76.969773, 30, 1.241379
180, 97.448508, 35, 0.558824
210, 109.111301, 39, 0.026316
240, 123.637557, 39, 0.789474
270, 143.998773, 41, 0.500000
300, 159.895970, 43, 0.333333
330, 175.363274, 45, 0.272727
360, 191.483309, 48, 0.191489
390, 211.209669, 50, 0.183673
420, 230.880113, 51, 0.200000
450, 249.569971, 52, 0.333333
480, 258.206181, 54, 0.433962
510, 291.886557, 56, 0.272727
540, 316.953786, 57, 0.250000
570, 318.172878, 60, 0.186441
600, 382.827127, 60, 0.271186
630, 369.783488, 60, 0.288136
660, 453.364579, 52, 0.588235
690, 475.655968, 43, 0.928571
720, 385.631338, 35, 1.382353
750, 1.111111, 28, 2.000000
780, 3.101972, 21, 3.050000
810, 4.296558, 17, 2.750000
840, 3.572791, 21, 3.100000
870, 3.491269, 19, 3.166667
900, 4.500625, 17, 2.812500
930, 1.692853, 20, 3.315789
960, 1.219619, 18, 3.705882
990, 1.384175, 18, 3.823529
1020, 1.800528, 18, 3.823529
1050, 3.272482, 18, 3.117647
1080, 3.006729, 19, 3.500000
1110, 5.840402, 21, 3.050000
1140, 6.465614, 21, 2.750000
1170, 1.978295, 21, 2.800000
1200, 3.742915, 17, 3.000000
1230, 3.335018, 18, 3.117647
1260, 4.024107, 19, 2.944444
1290, 2.256227, 18, 3.235294
1320, 3.573915, 20, 3.210526
1350, 4.582117, 20, 3.052632
1380, 4.389665, 21, 3.100000
1410, 5.577368, 21, 2.800000
1440, 2.733975, 18, 3.058824
1470, 4.306290, 18, 2.941176
1500, 2.012928, 19, 3.500000
1530, 3.219116, 18, 3.823529
1560, 1.834720, 20, 3.315789
1590, 2.293066, 18, 3.235294
1620, 3.560131, 19, 3.166667
1650, 2.364901, 21, 3.100000
1680, 2.960761, 20, 3.315789
1710, 4.750880, 17, 2.750000
1740, 3.228155, 21, 3.100000
1770, 3.432620, 20, 3.052632
1800, 2.601033, 18, 3.764706
1830, 3.111149, 19, 3.500000
1860, 2.933879, 19, 2.888889
1890, 5.525831, 18, 2.764706
1920, 1.859764, 20, 3.263158
1950, 2.674148, 18, 3.705882
1980, 4.165168, 19, 3.555556
2010, 5.317874, 21, 2.950000
2040, 3.927557, 18, 2.941176
2070, 2.065372, 18, 3.235294
2100, 2.233029, 20, 3.315789
2130, 7.058039, 18, 3.647059
2160, 9.704415, 22, 2.666667
2190, 2.979608, 23, 2.727273
2220, 6.751163, 18, 2.647059
2250, 6.351037, 23, 2.727273
2280, 2.763877, 18, 3.764706
2310, 2.760874, 19, 2.944444
2340, 1.983566, 18, 3.764706
2370, 3.001341, 20, 3.315789
2400, 3.475520, 21, 3.000000
2430, 3.059753, 19, 3.500000
2460, 5.729566, 19, 2.777778
2490, 2.105845, 19, 3.500000
2520, 3.500000, 20, 3.105263
2550, 3.486925, 18, 3.000000
2580, 1.670501, 18, 3.764706
2610, 3.690969, 18, 3.764706
2640, 4.585545, 21, 3.000000
2670, 2.591484, 18, 3.294118
2700, 4.839325, 18, 2.764706
2730, 2.244360, 20, 2.947368
2760, 4.122252, 19, 3.166667
2790, 2.285552, 20, 3.000000
2820, 2.430894, 18, 3.647059
2850, 3.941741, 18, 2.941176
2880, 3.946608, 18, 3.529412
2910, 7.528897, 20, 2.736842
2940, 2.360211, 20, 3.315789
2970, 1.733898, 18, 3.764706
3000, 2.543219, 18, 3.176471
3030, 3.137753, 17, 3.125000
3060, 4.488627, 19, 2.777778
3090, 2.459526, 18, 3.235294
3120, 3.342266, 20, 3.052632
3150, 2.969413, 20, 3.157895
3180, 3.190335, 19, 3.166667
3210, 2.344804, 18, 3.764706
3240, 3.334042, 18, 3.823529
3270, 3.596270, 19, 2.777778
3300, 2.858012, 18, 2.882353
3330, 2.387538, 19, 3.000000
3360, 2.104171, 20, 3.105263
3390, 2.924311, 17, 3.500000
3420, 3.314932, 21, 3.100000
3450, 4.332344, 18, 2.823529
3480, 3.260604, 19, 3.555556
3510, 5.813393, 20, 3.263158
3540, 6.607066, 23, 2.681818
3570, 3.453122, 18, 3.764706
3600, 2.175045, 20, 3.263158
3630, 2.226306, 18, 3.294118
3660, 3.242933, 18, 3.117647
3690, 1.495562, 21, 2.950000
3720, 4.067106, 18, 3.764706
3750, 3.208962, 21, 3.100000
3780, 4.166028, 17, 3.125000
3810, 4.921867, 18, 3.764706
3840, 4.519545, 22, 2.666667
3870, 2.439264, 19, 3.055556
3900, 3.545609, 18, 3.647059
3930, 8.492901, 17, 2.437500
3960, 8.916722, 22, 2.428571
3990, 4.182794, 20, 3.263158
4020, 5.351723, 21, 2.850000
4050, 2.070614, 21, 2.950000
4080, 5.000501, 18, 3.764706
4110, 5.154213, 21, 2.900000
4140, 3.895312, 23, 2.727273
4170, 2.177599, 22, 2.904762
4200, 2.006424, 18, 3.647059
4230, 2.275496, 20, 3.157895
4260, 2.013567, 18, 3.647059
4290, 3.218064, 19, 3.500000
4320, 7.403633, 18, 2.470588
4350, 7.544958, 23, 2.590909
4380, 2.513358, 21, 2.700000
4410, 2.111815, 20, 3.000000
4440, 4.057946, 17, 2.937500
4470, 2.058310, 19, 3.555556
4500, 4.146463, 19, 3.500000
4530, 9.852834, 18, 2.470588
4560, 11.065356, 23, 2.409091
4590, 2.048267, 18, 3.764706
4620, 3.515983, 19, 3.166667
4650, 5.099021, 17, 2.687500
4680, 5.962482, 22, 2.904762
4710, 3.856284, 21, 2.900000
4740, 4.601038, 18, 2.941176
4770, 4.799452, 17, 2.687500
4800, 4.821588, 22, 2.904762
4830, 3.340670, 19, 3.055556
4860, 4.789651, 18, 2.882353
4890, 1.556877, 20, 3.210526
4920, 3.004006, 18, 3.705882
4950, 3.768154, 21, 3.050000
4980, 1.919239, 18, 3.823529
5010, 4.744156, 18, 3.000000
5040, 2.391080, 20, 2.789474
5070, 4.425226, 18, 3.823529
5100, 6.243275, 21, 3.000000
5130, 2.344788, 20, 3.263158
5160, 3.326119, 19, 3.500000
5190, 4.094980, 19, 3.555556
5220, 1.976900, 21, 3.100000
5250, 3.962742, 20, 3.315789
5280, 3.690986, 21, 3.000000
5310, 2.510847, 21, 3.100000
5340, 1.907542, 19, 2.777778
5370, 3.967382, 18, 3.058824
5400, 3.961274, 20, 2.789474
5430, 4.014385, 18, 2.823529
5460, 2.687664, 18, 3.705882
5490, 3.451293, 18, 3.000000
5520, 1.893072, 19, 3.055556
5550, 1.801410, 18, 3.705882
5580, 1.518668, 17, 3.500000
5610, 2.112336, 17, 3.250000
5640, 2.355805, 18, 3.647059
5670, 2.535368, 19, 3.333333
5700, 3.539954, 19, 3.500000
5730, 2.200264, 20, 2.789474
5760, 4.260667, 18, 3.647059
5790, 5.224766, 21, 3.100000
5820, 4.290042, 20, 3.157895
5850, 8.228269, 19, 2.555556
5880, 8.085544, 24, 2.478261
5910, 5.009955, 18, 3.764706
5940, 6.350622, 21, 2.950000
5970, 2.855158, 19, 2.833333
